"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"554","2193996.133745117",25,"87759.84534980469","170695.14814308917","0","125","7200","70730.15","612630"
"388","2923864.724609375",20,"146193.23623046876","162535.70415572252","4000","56480.041015625","91705","160795.5","619000"
"923","38879497.81832031",304,"127893.08492868523","877925.6031815045","-48000","19915","42415","92716.25","15166667"
"090","135028249.04164064",88,"1534411.9209277346","3514201.5480364454","0","59545","124802.1","871191","15481542"
"222","4357003.3240625",80,"54462.54155078125","49486.94503471005","290","17811.4375","34012","87499.1","288000"
"713","394435508.4995703",1576,"250276.33788043802","1624943.689809751","0","24581.82","67833.31","148000","51046250"
"145","213990",1,"213990","NaN","213990","213990","213990","213990","213990"
"730","4613228.24625",27,"170860.30541666667","193111.31268734153","18000","78860.3","104445","167317.458125","809605.18"
"602","32800",1,"32800","NaN","32800","32800","32800","32800","32800"
"502","298996776.95746094",248,"1205632.1651510522","6684584.5731077865","0","54125.0025","124691.25","451791.6015625","67957656"
"301","74050990.1780399",1454,"50929.15418022001","340367.23906197835","0","1488.0825","7287.7749609375005","27948.43505859375","10092503"
"482","52659518.22492798",219,"240454.42111839258","1520858.0712492191","224","8317.490234375","49999","145568.41999999998","22160613.82"
"161","3018987.0325195314",49,"61611.98025550064","94824.54010620034","491.15","7000","30372.99","70000","550000"
"550","10453487.13203125",58,"180232.5367591595","257590.30986359247","0","57555.1572265625","110557.5","210000","1680000"
"480","205046916.6374829",626,"327550.9850439024","1125629.8256145176","0","29931.49462890625","85884.42000000001","209559.8","17422193.29"
"559","1654166.569609381",24,"68923.60706705754","179133.4506636939","-3180","0","672","6680.2","730000"
"243","41518992.919629745",209,"198655.46851497487","373022.875622285","0","24384","81252","206058.140625","3432000"
"654","1712877.703125",3,"570959.234375","738317.8522199477","95415.453125","145680.2265625","195945","808731.125","1421517.25"
"852","2043811.5068945312",34,"60112.1031439568","103493.63042369219","0","14247","24966","63532.5","579575"
"358","15841883.195812378",191,"82941.79683671403","137599.93056708438","0","12474.485","39375","90130.5","1033605"
"314","18230601.62054199",61,"298862.3216482293","2044622.6635098238","317.32000732421875","3450","10970.71","44838.85","15999750"
"506","3693670.7778027346",60,"61561.179630045575","108276.02645375002","0","5768.7000732421875","30859.1650390625","66489.5","614880"
"181","39663795.15186767",599,"66216.68639710797","142706.15409902864","0","6453","23000","68880","1504500"
"229","1907874.4052148438",48,"39747.383441975915","50085.08952652483","700","8137.5","20429.5","52324.4719140625","225500"
"420","7508756.940625001",34,"220845.79237132357","332959.2156693391","2295","50875.1","129564.6953125","239500","1575396"
"444","14009178.194350682",211,"66394.20945189896","173525.16521550037","0","3941.8300439453124","20714","65973.005","1780162.63"
"449","2900761.603125",26,"111567.75396634615","90308.68118435428","7600","35846.25","94402.5","177543.75","345000"
"","3607165.636640625",7,"515309.3766629464","1051711.6172997933","24243.9609375","40227.1962890625","63450","284508.64156250004","2870000"
"606","67883468.6671875",20,"3394173.4333593748","6650983.029138317","0","58972.849609375","139682.859375","4714425","24195202"
"732","7972821.25625",68,"117247.37141544117","169937.82738572615","0","32520","59850","113310","707200"
"760","3053593.9184375",16,"190849.61990234375","262761.24984692706","0","12353.5375","104639.19421875","143230","854280"
"771","2895345.5",43,"67333.61627906977","63490.00006673691","7000","20000","60000","77000","249007.5"
"483","10273471.717568358",82,"125286.24045815071","210367.3840228384","947","17165.8125","45043.599609375","114761.125","1116653"
"503","47323710.155039065",352,"134442.35839499734","400266.60415696463","0","22485.35009765625","62241.17","126552.12","5823837.7"
"382","11487870.487109374",39,"294560.7817207532","694047.6520301381","7900","26669.474609375","93354","223327.59","3520000"
"905","606139255.765459",925,"655285.6819086042","2666093.653563369","0","56937.9","149600","335760","47146932.4"
