"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"985","107678.7",1,"107678.7","NaN","107678.7","107678.7","107678.7","107678.7","107678.7"
"796","52557543.47507813",267,"196844.73211639747","355798.4893919639","0","56689.720703125","123350","192270.78","4860000"
"302","523858756.5653688",2767,"189323.72842984053","1593309.2712360707","0","5433.8998828125","29402.650390625","99465","53865712.95"
"421","19306888.965546876",285,"67743.47005455045","129883.56649553837","0","2190.27","18899.30078125","82157.9296875","1000000"
"715","108618831.8430078",392,"277088.85674236686","1261009.628407953","0","26209.39697265625","59301","138021.75","17536905"
"149","75000",1,"75000","NaN","75000","75000","75000","75000","75000"
"331","772194169.1423588",15613,"49458.41088467039","173874.9467317772","0","1530","8400","38861.9","7425000"
"719","7871492.822031249",84,"93708.2478813244","150499.61384230768","0","11193.0375","34288.19921875","104106.07","892057.32"
"184","3773355.2114453125",82,"46016.526968845275","60310.00279561955","0","8410.25","26932.5","61740","325188.5"
"803","1458553.6869335938",49,"29766.401774154976","54518.87165877957","910.56","3000","6804","25396.9","258800"
"501","129140754.72738281",705,"183178.37549983378","1637150.3729160472","0","29166.67","65040.65","141495","43227672"
"425","7262010.634807128",124,"58564.601893605875","56275.937941177996","0","16317.327392578125","43444.72","80389.05500000001","315721.0625"
"981","2008613.19046875",13,"154508.7069591346","180732.23017690182","13836","51308.4","63936","179960.34375","689487.125"
"325","34702255.76603027",203,"170947.07273906536","436127.4997725965","0","10825.5","55000","173864.875","4409948"
"223","3344589.4921875",17,"196740.5583639706","166505.0633743556","22500","72000","190530.34375","223696.5","558435"
"146","113120.349609375",2,"56560.1748046875","63582.794553134525","11600.349609375","34080.26220703125","56560.1748046875","79040.08740234375","101520"
"423","168863.5",4,"42215.875","65106.38146958023","637.5","5746.875","14625.5","51094.5","138975"
"429","55286080.00893554",267,"207063.97007091963","496025.6014722477","0","21919.765","69864.47","163709.5","4722420"
"510","1925687.5462500001",16,"120355.47164062501","60853.596445183706","7825","81595.8125","125728.25390625","163181.15","212400"
"921","2142833.51",37,"57914.41918918918","63423.721502709","0","24255","37495","61500","308823.84"
"661","87569470.16269532",313,"279774.6650565346","705306.5131711221","0","62256.16015625","106696","213549.89","7121626.66"
"770","46065247.41397461",85,"541944.0872232307","1063055.8403429778","2160","37260","116304.21","326891.65625","4495248"
"552","12110050.748203125",25,"484402.029928125","1173562.5025487815","800","8330","40000","119236","4358000"
"750","221530",2,"110765","78863.61930573564","55000","82882.5","110765","138647.5","166530"
"221","8815416.028388672",239,"36884.58589283963","62918.03869060094","18.2","3024.165","13505.0302734375","44472.294609375","474087.94"
"800","4415472.02515625",51,"86577.88284620098","84121.12231549797","4632","23039","65182.921875","113392","349770"
"430","762320",5,"152464","101614.60342883793","67150","80480","89400","245540","279750"
"411","66210",2,"33105","3542.6049737446033","30600","31852.5","33105","34357.5","35610"
"244","2614504.8823376466",74,"35331.14705861684","46687.47904214742","120","1299.625","9829.185000000001","55000","198584.09375"
"453","272343799.6962109",875,"311250.0567956696","733911.0513485123","0","66779.16187499999","158021.375","328106.328125","14446957"
"797","431861513.93224615",1181,"365674.44024745654","1073552.9772465809","0","63936","122547.32","245633.59375","20803993.08"
"920","3857673.95625",35,"110219.25589285714","83554.59510329447","150","38632.5","112850","161895","345000"
"196","10333180.426445313",124,"83332.10021326866","85706.13555918625","140","31100.75","63493.349609375","110284.5","519392.15625"
"484","7867664.190649414",43,"182968.93466626544","288517.2492081477","1794.9000244140625","16376.765","97880","187973.1","1468464.24"
"925","7651227.1939062495",43,"177935.51613735463","226661.53526000798","15000","60118.962890625","97000","163045.6015625","988000"
"349","145335686.17816895",957,"151865.92077133642","415535.89983378793","0","16950","45000","125576","4425000"
"486","23252797.379414063",61,"381193.3996625256","853747.5615610093","985.65","52663.4609375","142809.88","253015.40625","5506427.26"
"432","15651448.302656248",133,"117680.06242598683","92237.00855918569","9580","64291.77","84300","145900","516000"
"323","37216675.67723267",397,"93744.77500562384","222482.99033116872","61","10268.6904296875","33600","94480","3086316.87"
"450","329693308.01433593",580,"568436.7379557516","1218361.6808876407","0","127932.955","271528.61","529753.28","19462934.01"
"310","3410375.4963378906",65,"52467.31532827524","64974.73382377665","0","0","25000","91163.19","250000"
"451","505942190.0778516",987,"512606.06897452037","972151.4639713422","0","122113.28515625","247856.53","500414.5625","18860000"
"924","690348",8,"86293.5","83538.09593062488","10800","33255","60900","103800","224280"
"354","1616147.8502343749",13,"124319.06540264422","137144.8201613337","15800","23955.83984375","47867.98","164000","393950"
"182","1958073.715",30,"65269.12383333334","77297.72014921428","209.5","9768.855","50228.5","98024.35","308889"
"761","179307.130625",2,"89653.5653125","87353.60338201084","27885.24","58769.40265625","89653.5653125","120537.72796875","151421.890625"
"346","51369545.01187501",12,"4280795.417656251","14263985.604465166","29172","115458.61828125","159955.573125","212723.625","49574000"
"772","74611076.21894532",570,"130896.62494551811","222309.64559848348","0","33212.5","76660.89499999999","136752.85203125","2425720"
"241","39452170.19283203",147,"268382.1101553199","603111.8860876198","266","32023.595","103822.5","220763.7","5976789.12"
"630","14721129.645",55,"267656.90263636364","860376.8953759224","187","21080.795","97500","160250","6000000"
"324","50577611.98069473",269,"188020.8623817648","352463.3365114047","50.560001373291016","41100","91719.8984375","176570.45","2818361"
"778","296800",1,"296800","NaN","296800","296800","296800","296800","296800"
"155","36139152.35597901",295,"122505.60120670851","544471.577934675","0","5290.775","23550.599609375","84429.52625","5890810.86"
"197","87413.4",2,"43706.7","18584.039001788606","30565.8","37136.25","43706.7","50277.15","56847.6"
"142","16713727.132695314",212,"78838.33553158167","88389.62542868637","0","19196.49","50000","102658.75","600000"
"795","32474712.48546875",113,"287386.8361545907","716522.1573510035","0","66460.28125","120000","198750","6292167.5"
"774","180000",1,"180000","NaN","180000","180000","180000","180000","180000"
"481","50498234.13123047",188,"268607.6283576089","959315.1876971242","0","30704.25","87408.10546875","180852.875","8725406"
"488","32118651.28234375",172,"186736.34466478924","353205.01494434575","0","43653.212499999994","99394.10500000001","180750.4621875","3422850.75"
"154","7675043.710278319",60,"127917.39517130532","374360.13127750024","341","2583.9375","13946.02","40510.6494140625","2449158.08"
"381","5634375.69625",22,"256107.98619318183","589742.6736019921","0","44282.8725","79113.65","212220","2793600"
"030","11231636.93453125",85,"132136.90511213234","374985.48399174487","827","7909.5","17266","58843.1015625","2321744.75"
"445","1974773.556401367",58,"34047.819937954606","57199.953460870966","0","3032.9775512695314","10770.61","40537.013671875","250000"
"386","34641376.29187745",77,"449888.00379061623","2014875.0514915376","626.4199829101562","5313","36990","78365","13447200"
"192","3398839.9992382815",58,"58600.68964203934","169343.16587475376","270","5078.89","13180.64990234375","41804.284999999996","1261640.75"
"804","20985173.03761719",90,"233168.5893068577","777575.2564749335","749.02","30201","81934.55859375","179669.28","7174860"
"163","846918.4998046875",10,"84691.84998046875","87779.4803616814","4637.2998046875","18622.8875","52245.8","128722.5","252750"
"651","11476335.69359375",48,"239090.32694986978","436170.0024710083","0","46598.1494140625","108000","206562.5","2547025.2"
